prioridad;prioridad_detalle;identifier;count;path;message
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;1;src/actividadcargos/application/SelectCargosDeActividadTableData.php;"#^Call to an undefined method object\:\:getId_tabla\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;1;src/actividadcargos/application/SelectCargosDeActividadTableData.php;"#^Call to an undefined method object\:\:getPrefApellidosNombre\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;2;src/actividadcargos/infrastructure/persistence/postgresql/PgActividadCargoDlRepository.php;"#^Argument of an invalid type PDOStatement\|false supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;3;src/actividadcargos/infrastructure/persistence/postgresql/PgActividadCargoDlRepository.php;"#^Argument of an invalid type array\|bool supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;3;src/actividadcargos/infrastructure/persistence/postgresql/PgCargoOAsistente.php;"#^Argument of an invalid type PDOStatement\|false supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;8;src/actividadcargos/infrastructure/persistence/postgresql/PgCargoOAsistente.php;"#^Call to an undefined method src\\actividadcargos\\infrastructure\\persistence\\postgresql\\PgCargoOAsistente\:\:setErrorTxt\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;2;src/actividadcargos/infrastructure/persistence/postgresql/PgCargoRepository.php;"#^Argument of an invalid type PDOStatement\|false supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;1;src/actividades/application/ActividadNuevoCurso.php;"#^Call to an undefined method object\:\:getErrorTxt\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;1;src/actividades/application/ActividadNuevoCurso.php;"#^Call to an undefined method object\:\:setId_activ\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";property.notFound;1;src/actividades/application/ListaSrCsvQueDatos.php;"#^Access to an undefined property object\:\:\$periodo\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";property.notFound;1;src/actividades/application/ListaSrCsvQueDatos.php;"#^Access to an undefined property object\:\:\$status\.$#"
